CompanyName,Hyperlink,DownloadStatus,DownloadErrorFrequency,Remark,VolumnIndicatorProcess,VolumnIndicatorResult,Empty,Empty
Scicom MSC Bhd,/equities/scicom-msc-bhd,To be processed,1,,,,,
Success Transformer Corporation Bhd,/equities/success-transformer-corp,To be processed,1,,,,,
Kimlun Corporation Bhd,/equities/kimlun-corporation-bhd,To be processed,1,,,,,
Kretam Holdings Bhd,/equities/kretam-holdings-bhd,To be processed,1,,,,,
SP Setia Bhd,/equities/sp-setia-bhd,To be processed,1,,,,,
Superlon Holdings Bhd,/equities/superlon-holdings-bhd,To be processed,1,,,,,
Malakoff Corporation Bhd,/equities/malakoff-corporation-bhd,To be processed,1,,,,,
Harbour Link Group Bhd,/equities/harbour-link-group-bhd,To be processed,1,,,,,
Genetec Technology Bhd,/equities/genetec-technology-bhd,To be processed,1,,,,,
Bermaz Auto Bhd,/equities/berjaya-auto-bhd,To be processed,1,,,,,
Sunway Real Estate Investment Trust,/equities/sunway-real-estate-invest-trust,To be processed,1,,,,,
Faber Group Bhd,/equities/faber-group-bhd,To be processed,1,,,,,
Hume Industries Bhd,/equities/hume-industries-bhd,To be processed,1,,,,,
Pansar Bhd,/equities/pansar-bhd,To be processed,1,,,,,
HCK Capital Group Bhd,/equities/hck-capital-group-bhd,To be processed,1,,,,,
Master Pack Group Bhd,/equities/master-pack-group-bhd,To be processed,1,,,,,
Paramount Corporation Bhd,/equities/paramount-corporation-bhd,To be processed,1,,,,,
Insas Bhd,/equities/insas-bhd,To be processed,1,,,,,
Hup Seng Industries Bhd,/equities/hup-seng-industries-bhd,To be processed,1,,,,,
Asia Brands Bhd,/equities/asia-brands-bhd,To be processed,1,,,,,
Deleum Bhd,/equities/deleum-bhd,To be processed,1,,,,,
Samchem Holdings Bhd,/equities/samchem-holdings-bhd,To be processed,1,,,,,
Harn Len Corporation Bhd,/equities/harn-len-corporation-bhd,To be processed,1,,,,,
UOA Development Bhd,/equities/uoa-development-bhd,To be processed,1,,,,,
Leong Hup International Berhad,/equities/leong-hup-international-berhad,To be processed,1,,,,,
LBI Capital Bhd,/equities/lbi-capital-bhd,To be processed,1,,,,,
Yi-Lai Bhd,/equities/yi-lai-bhd,To be processed,1,,,,,
MSM Malaysia Holdings Bhd,/equities/msm-malaysia-holdings-bhd,To be processed,1,,,,,
Dominant Enterprise Bhd,/equities/dominant-enterprise-bhd,To be processed,1,,,,,
Symphony Life Bhd,/equities/symphony-life-bhd,To be processed,1,,,,,
MMS Ventures Bhd,/equities/mms-ventures-bhd,To be processed,1,,,,,
KIP Real Estate Investment Trust,/equities/kip-real-estate-investment-trust,To be processed,1,,,,,
TH Plantations Bhd,/equities/th-plantations-bhd,To be processed,1,,,,,
Poh Kong Holdings Bhd,/equities/poh-kong-holdings-bhd,To be processed,1,,,,,
Pavilion Real Estate Inv Trust,/equities/pavilion-real-estate-inv-trust,To be processed,1,,,,,
Box Pak (Malaysia) Bhd,/equities/box-pak-(malaysia)-bhd,To be processed,1,,,,,
MCE Holdings Bhd,/equities/multi-code-electronics-industries,To be processed,1,,,,,
Tomei Consolidated Bhd,/equities/tomei-consolidated-bhd,To be processed,1,,,,,
Astino Bhd,/equities/astino-bhd,To be processed,1,,,,,
CI Holdings Bhd,/equities/ci-holdings-bhd,To be processed,1,,,,,
LB Aluminium Bhd,/equities/lb-aluminium-bhd,To be processed,1,,,,,
TA Enterprise Bhd,/equities/ta-enterprise-bhd,To be processed,1,,,,,
MGB Bhd,/equities/ml-global-bhd,To be processed,1,,,,,
IJM Plantations Bhd,/equities/ijm-plantations-bhd,To be processed,1,,,,,
Southern Steel Bhd,/equities/southern-steel-bhd,To be processed,1,,,,,
Amanah Harta Tanah PNB,/equities/amanah-harta-tanah,To be processed,1,,,,,
Classic Scenic Bhd,/equities/classic-scenic-bhd,To be processed,1,,,,,
Menang Corporation (Malaysia) Bhd,/equities/menang-corporation-(m)-bhd,To be processed,1,,,,,
Tri-Mode System M Bhd,/equities/tri-mode,To be processed,1,,,,,
YTL Hospitality REIT,/equities/ytl-hospitality-reit,To be processed,1,,,,,
Sunway Construction Group Bhd,/equities/sunway-construction-group-bhd,To be processed,1,,,,,
Berjaya Food Bhd,/equities/berjaya-food-bhd,To be processed,1,,,,,
CSC Steel Holdings Bhd,/equities/csc-steel-holdings-bhd,To be processed,1,,,,,
Rexit Bhd,/equities/rexit-bhd,To be processed,1,,,,,
Wong Engineering Corporation Bhd,/equities/wong-engineering-corp,To be processed,1,,,,,
Ralco Corporation Bhd,/equities/ralco-corporation-bhd,To be processed,1,,,,,
Transocean Holdings Bhd,/equities/transocean-holdings-bhd,To be processed,1,,,,,
myNEWS Holdings Bhd,/equities/bison-consolidated-bhd,To be processed,1,,,,,
Fiamma Holdings Bhd,/equities/fiamma-holdings-bhd,To be processed,1,,,,,
Ornapaper Bhd,/equities/ornapaper-bhd,To be processed,1,,,,,
Bonia Corporation Bhd,/equities/bonia-corporation-bhd,To be processed,1,,,,,
OSK Holdings Bhd,/equities/osk-holdings-bhd,To be processed,1,,,,,
Freight Management Holdings,/equities/freight-management-holdings,To be processed,1,,,,,
Integrated Logistics Bhd,/equities/integrated-logistics-bhd,To be processed,1,,,,,
MRCB-Quill REIT Unit,/equities/mrcb-quill-unit,To be processed,1,,,,,
Rhone Ma Holdings Bhd,/equities/rhone-ma-holdings-bhd,To be processed,1,,,,,
TMC Life Sciences Bhd,/equities/tmc-life-sciences-bhd,To be processed,1,,,,,
Three A Resources Bhd,/equities/three-a-resources-bhd,To be processed,1,,,,,
GuocoLand (Malaysia) Bhd,/equities/guocoland-(malaysia)-bhd,To be processed,1,,,,,
Spritzer Bhd,/equities/spritzer-bhd,To be processed,1,,,,,
Kwantas Corporation Bhd,/equities/kwantas-corporation-bhd,To be processed,1,,,,,
Lee Swee Kiat Group Bhd,/equities/lee-swee-kiat-group-bhd,To be processed,1,,,,,
MHC Plantations Bhd,/equities/mhc-plantations-bhd,To be processed,1,,,,,
EITA Resources Bhd,/equities/eita-resources-bhd,To be processed,1,,,,,
Tambun Indah Land Bhd,/equities/tambun-indah-land-bhd,To be processed,1,,,,,
Techbond Group Bhd,/equities/techbond-group,To be processed,1,,,,,
SEG International Bhd,/equities/seg-international-bhd,To be processed,1,,,,,
Ancom Bhd,/equities/ancom-bhd,To be processed,1,,,,,
ELK-Desa Resources Bhd,/equities/elk-desa-resources-bhd,To be processed,1,,,,,
GSB Group Bhd,/equities/gsb-group-bhd,To be processed,1,,,,,
MNRB Holdings Bhd,/equities/mnrb-holdings-bhd,To be processed,1,,,,,
Hektar Real Estate Investment Trust,/equities/hektar-reit,To be processed,1,,,,,
BP Plastics Holding Bhd,/equities/bp-plastics-holding-bhd,To be processed,1,,,,,
