CompanyName,Hyperlink,DownloadStatus
Astral Asia Bhd,/equities/astral-asia-bhd,To_be_Process
LBS Bina Group Bhd,/equities/lbs-bina-group-bhd,To_be_Process
Axiata Group Bhd,/equities/axiata-group-bhd,To_be_Process
Malayan Flour Mills Bhd,/equities/malayan-flour-mills-bhd,To_be_Process
Aemulus Holdings Bhd,/equities/aemulus-holdings-bhd,To_be_Process
Poh Kong Holdings Bhd,/equities/poh-kong-holdings-bhd,To_be_Process
Hartalega Holdings Bhd,/equities/hartalega-holdings-bhd,To_be_Process
Systech Bhd,/equities/systech-bhd,To_be_Process
VS Industry Bhd,/equities/vs-industry-bhd,To_be_Process
Sanichi Technology Bhd,/equities/sanichi-technology-bhd,To_be_Process
Kuantan Flour Mills Bhd,/equities/kuantan-flour-mills-bhd,To_be_Process
Gamuda Bhd,/equities/gamuda-bhd,To_be_Process
KUB Malaysia Bhd,/equities/kub-malaysia-bhd,To_be_Process
SC Estate Builder Bhd,/equities/sc-estate-builder-bhd,To_be_Process
HUBLine Bhd,/equities/hubline-bhd,To_be_Process
Dolphin International Bhd,/equities/dolphin-international-bhd,To_be_Process
Daya Materials Bhd,/equities/daya-materials-bhd,To_be_Process
Sycal Ventures Bhd,/equities/sycal-ventures-bhd,To_be_Process
Dnonce Tech Bhd,/equities/dnonce-tech-bhd,To_be_Process
Nextgreen Global Bhd,/equities/bhs-industries-bhd,To_be_Process
Ta Win Holdings Bhd,/equities/ta-win-holdings-bhd,To_be_Process
Land General Bhd,/equities/land-general-bhd,To_be_Process
Malaysian Resources Corporation,/equities/malaysian-resources-corporation,To_be_Process
Petronas Chemicals Group Bhd,/equities/petronas-chemicals-group-bhd,To_be_Process
Ideal Jacobs Malaysia Corporation Bhd,/equities/ideal-jacobs-malaysia-corporation,To_be_Process
Minho M Bhd,/equities/minho-m-bhd,To_be_Process
AMMB Holdings Bhd,/equities/ammb-holdings-bhd,To_be_Process
SYF Resources Bhd,/equities/syf-resources-bhd,To_be_Process
Press Metal Bhd,/equities/press-metal-bhd,To_be_Process
Key ASIC Bhd,/equities/key-asic-bhd,To_be_Process
YBS International Bhd,/equities/lng-resources-bhd,To_be_Process
Mtag Group Berhad,/equities/mtag-group-berhad,To_be_Process
Berjaya Corporation Bhd,/equities/berjaya-corporation-bhd,To_be_Process
Sarawak Consolidated Industries Bhd,/equities/sarawak-consolidated-industries,To_be_Process
DPS Resources Bhd,/equities/dps-resources-bhd,To_be_Process
Matang Bhd,/equities/matang-bhd,To_be_Process
Oceancash Pacific Bhd,/equities/oceancash-pacific-bhd,To_be_Process
Mscm Holdings Bhd,/equities/panpages-bhd,To_be_Process
BCM Alliance Bhd,/equities/bcm-alliance-bhd,To_be_Process
Hiap Huat Holdings Bhd,/equities/hiap-huat-holdings-bhd,To_be_Process
IOI Corporation Bhd,/equities/ioi-corporation-bhd,To_be_Process
Ahmad Zaki Resources Bhd,/equities/ahmad-zaki-resources-bhd,To_be_Process
Public Bank Bhd,/equities/public-bank-bhd,To_be_Process
Marco Holdings Bhd,/equities/marco-holdings-bhd,To_be_Process
Minetech Resources Bhd,/equities/minetech-resources-bhd,To_be_Process
MUI Properties Bhd,/equities/mui-properties-bhd,To_be_Process
Tadmax Resources Bhd,/equities/tadmax-resources-bhd,To_be_Process
HB Global Ltd,/equities/hb-global-ltd,To_be_Process
AE Multi Holdings Bhd,/equities/ae-multi-holdings-bhd,To_be_Process
Yong Tai Bhd,/equities/yong-tai-bhd,To_be_Process
SKP Resources Bhd,/equities/skp-resources-bhd,To_be_Process
Arb Bhd,/equities/aturmaju-resources-bhd,To_be_Process
Rev Asia Bhd,/equities/rev-asia-bhd,To_be_Process
Sime Darby Plantation Bhd,/equities/sime-darby-plantation,To_be_Process
WCT Holdings Bhd,/equities/wct-holdings-bhd,To_be_Process
Sersol Bhd,/equities/sersol-bhd,To_be_Process
JHM Consolidation Bhd,/equities/jhm-consolidation-bhd,To_be_Process
Boustead Plantations Bhd,/equities/boustead-plantations-bhd,To_be_Process
Uzma Bhd,/equities/uzma-bhd,To_be_Process
Kerjaya Prospek Group Bhd,/equities/fututech-bhd,To_be_Process
Kumpulan Powernet Bhd,/equities/kumpulan-powernet-bhd,To_be_Process
Parlo Bhd,/equities/parlo-bhd,To_be_Process
Asia Poly Holdings Bhd,/equities/asia-poly-holdings-bhd,To_be_Process
Cuscapi Berhad,/equities/cuscapi-berhad,To_be_Process
Securemetric Berhad,/equities/securemetric-berhad,To_be_Process
Asian Pac Holdings Bhd,/equities/asian-pac-holdings-bhd,To_be_Process
Sasbadi Holdings Bhd,/equities/sasbadi-holdings-bhd,To_be_Process
Kumpulan Perangsang Selangor,/equities/kumpulan-perangsang-selangor,To_be_Process
Industronics Bhd,/equities/industronics-bhd,To_be_Process
Hextar Global Bhd,/equities/halex-holdings-bhd,To_be_Process
Chin Hin Group Bhd,/equities/chin-hin-group-bhd,To_be_Process
TFP Solutions Bhd,/equities/tfp-solutions-bhd,To_be_Process
Sern Kou Resources Bhd,/equities/sern-kou-resources-bhd,To_be_Process
CNI Holdings Bhd,/equities/cni-holdings-bhd,To_be_Process
Reliance Pacific Bhd,/equities/reliance-pacific-bhd,To_be_Process
Symphony Life Bhd,/equities/symphony-life-bhd,To_be_Process
Titijaya Land Bhd,/equities/titijaya-land-bhd,To_be_Process
China Ouhua Winery Holdings,/equities/china-ouhua-winery-holdings,To_be_Process
Radiant Globaltech Bhd,/equities/radiant-globaltech,To_be_Process
RHB Bank Bhd,/equities/rhb-capital-bhd,To_be_Process
Metronic Global Bhd,/equities/metronic-global-bhd,To_be_Process
MISC Bhd,/equities/misc-bhd,To_be_Process
Appasia Bhd,/equities/appasia-bhd,To_be_Process
ES Ceramics Technology Bhd,/equities/es-ceramics-technology-bhd,To_be_Process
Permaju Industries Bhd,/equities/permaju-industries-bhd,To_be_Process
Prg Holdings Bhd,/equities/prg-holdings-bhd,To_be_Process
Kronologi Asia Bhd,/equities/kronologi-asia-bhd,To_be_Process
UCrest Bhd,/equities/palette-multimedia-bhd,To_be_Process
Sunzen Biotech Bhd,/equities/sunzen-biotech-bhd,To_be_Process
Kejuruteraan Asastera Bhd,/equities/kejuruteraan-asastera,To_be_Process
ConnectCounty Holdings Bhd,/equities/connectcounty-holdings-bhd,To_be_Process
Tiger Synergy Bhd,/equities/tiger-synergy-bhd,To_be_Process
MSM Malaysia Holdings Bhd,/equities/msm-malaysia-holdings-bhd,To_be_Process
Samchem Holdings Bhd,/equities/samchem-holdings-bhd,To_be_Process
Malaysia Pacific Corporation,/equities/malaysia-pacific-corporation,To_be_Process
Rubberex Corporation M Bhd,/equities/rubberex-corporation-m,To_be_Process
Evergreen Fibreboard Bhd,/equities/evergreen-fibreboard-bhd,To_be_Process
Goodway Integrated Industries,/equities/goodway-integrated-industries,To_be_Process
Malaysia Steel Works KL Bhd,/equities/malaysia-steel-works-kl-bhd,To_be_Process
Eden Inc Bhd,/equities/eden-inc-bhd,To_be_Process
AirAsia X Bhd,/equities/airasia-x-bhd,To_be_Process
SMRT Holdings Bhd,/equities/smrt-holdings-bhd,To_be_Process
Talam Transform Bhd,/equities/talam-transform-bhd,To_be_Process
Mega Sun City Holdings Bhd,/equities/mega-sun-city-holdings-bhd,To_be_Process
Luxchem Corporation Bhd,/equities/luxchem-corporation-bhd,To_be_Process
TSH Resources Bhd,/equities/tsh-resources-bhd,To_be_Process
Tekala Corporation Bhd,/equities/tekala-corporation-bhd,To_be_Process
Petronas Gas Bhd,/equities/petronas-gas-bhd,To_be_Process
Iskandar Waterfront City Bhd,/equities/iskandar-waterfront-city-bhd,To_be_Process
JAKS Resources Bhd,/equities/jaks-resources-bhd,To_be_Process
Frontken Corporation Bhd,/equities/frontken-corporation-bhd,To_be_Process
Pharmaniaga Bhd,/equities/pharmaniaga-bhd,To_be_Process
Powerwell Holdings Bhd,/equities/powerwell-holdings-bhd,To_be_Process
JAG Bhd,/equities/jag-bhd,To_be_Process
Benalec Holdings Bhd,/equities/benalec-holdings-bhd,To_be_Process
Dataprep Holdings Bhd,/equities/dataprep-holdings-bhd,To_be_Process
Kawan Food Bhd,/equities/kawan-food-bhd,To_be_Process
Melewar Industrial Group Bhd,/equities/melewar-industrial-group,To_be_Process
YTL Power International Bhd,/equities/ytl-power-international-bhd,To_be_Process
Techfast Holdings Bhd,/equities/techfast-holdings-bhd,To_be_Process
TH Heavy Engineering Bhd,/equities/th-heavy-engineering-bhd,To_be_Process
HeveaBoard Bhd,/equities/heveaboard-bhd,To_be_Process
ATA IMS Bhd,/equities/denko-industrial-corporation,To_be_Process
Mieco Chipboard Bhd,/equities/mieco-chipboard-bhd,To_be_Process
PeterLabs Holdings Bhd,/equities/peterlabs-holdings-bhd,To_be_Process
Adventa Bhd,/equities/adventa-bhd,To_be_Process
Sand Nisko Capital Bhd,/equities/len-cheong-holding-bhd,To_be_Process
Lotte Chemical Titan Holding BHD,/equities/lotte-chemical-titan,To_be_Process
Media Chinese International Ltd,/equities/media-chinese-international-ltd,To_be_Process
Tune Protect Group Bhd,/equities/tune-protect-group-bhd,To_be_Process
Sedania Innovator Bhd,/equities/sedania-innovator-bhd,To_be_Process
Pan Malaysia Corporation Bhd,/equities/pan-malaysia-corporation-bhd,To_be_Process
K N Kenanga Holdings Bhd,/equities/k-n-kenanga-holdings-bhd,To_be_Process
Tek Seng Holdings Bhd,/equities/tek-seng-holdings-bhd,To_be_Process
Lion Industries Corporation Bhd,/equities/lion-industries-corp,To_be_Process
SP Setia Bhd,/equities/sp-setia-bhd,To_be_Process
Macpie Bhd,/equities/sterling-progress-bhd,To_be_Process
ZECON Bhd,/equities/zecon-bhd,To_be_Process
Datasonic Group Bhd,/equities/datasonic-group-bhd,To_be_Process
Guan Chong Bhd,/equities/guan-chong-bhd,To_be_Process
NWP Holdings Bhd,/equities/nwp-holdings-bhd,To_be_Process
Berjaya Sports Toto Bhd,/equities/berjaya-sports-toto-bhd,To_be_Process
Dayang Enterprise Holdings Bhd,/equities/dayang-enterprise-holdings-bhd,To_be_Process
MMC Corporation Bhd,/equities/mmc-corporation-bhd,To_be_Process
Sime Darby Property Bhd,/equities/sime-darby-property,To_be_Process
Parkson Holdings Bhd,/equities/parkson-holdings-bhd,To_be_Process
Hap Seng Consolidated Bhd,/equities/hap-seng-consolidated-bhd,To_be_Process
KPJ Healthcare Bhd,/equities/kpj-healthcare-bhd,To_be_Process
MAG Holdings Berhad,/equities/xinghe-holdings-bhd,To_be_Process
Managepay Systems Bhd,/equities/managepay-systems-bhd,To_be_Process
M K Land Holdings Bhd,/equities/m-k-land-holdings-bhd,To_be_Process
Olympia Industries Bhd,/equities/olympia-industries-bhd,To_be_Process
